Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2023-02-03T20:31:13+0100,Trade,BUY_TO_OPEN,TLT   230317C00105000,Equity Option,Bought 1 TLT 03/17/23 Call 105.00 @ 3.65,-365.00,1,-365.00,-1.00,-0.13,100,TLT,TLT,3/17/23,105.0,CALL,253679254
2023-02-03T20:23:49+0100,Trade,SELL_TO_CLOSE,DAL   230616C00036000,Equity Option,Sold 1 DAL 06/16/23 Call 36.00 @ 5.74,574.00,1,574.00,0.00,-0.152,100,DAL,DAL,6/16/23,36.0,CALL,253676305
2023-02-03T20:23:49+0100,Trade,BUY_TO_CLOSE,DAL   230616C00043000,Equity Option,Bought 1 DAL 06/16/23 Call 43.00 @ 1.90,-190.00,1,-190.00,0.00,-0.13,100,DAL,DAL,6/16/23,43.0,CALL,253676305
2023-02-03T20:19:34+0100,Trade,SELL_TO_OPEN,FXI   230317P00030000,Equity Option,Sold 1 FXI 03/17/23 Put 30.00 @ 0.75,75.00,1,75.00,-1.00,-0.142,100,FXI,FXI,3/17/23,30.0,PUT,253674849
2023-02-03T20:19:34+0100,Trade,BUY_TO_OPEN,FXI   230317P00033000,Equity Option,Bought 1 FXI 03/17/23 Put 33.00 @ 2.35,-235.00,1,-235.00,-1.00,-0.13,100,FXI,FXI,3/17/23,33.0,PUT,253674849
2023-02-03T20:18:33+0100,Trade,SELL_TO_OPEN,UAL   230317P00049000,Equity Option,Sold 1 UAL 03/17/23 Put 49.00 @ 1.55,155.00,1,155.00,-1.00,-0.142,100,UAL,UAL,3/17/23,49.0,PUT,253674434
2023-02-03T20:18:33+0100,Trade,BUY_TO_OPEN,UAL   230317P00055000,Equity Option,Bought 1 UAL 03/17/23 Put 55.00 @ 4.71,-471.00,1,-471.00,-1.00,-0.13,100,UAL,UAL,3/17/23,55.0,PUT,253674434
2023-02-03T20:13:05+0100,Trade,BUY_TO_OPEN,NIO   230317P00012500,Equity Option,Bought 1 NIO 03/17/23 Put 12.50 @ 1.89,-189.00,1,-189.00,-1.00,-0.13,100,NIO,NIO,3/17/23,12.5,PUT,253667744
2023-02-03T20:13:05+0100,Trade,SELL_TO_OPEN,NIO   230317P00010000,Equity Option,Sold 1 NIO 03/17/23 Put 10.00 @ 0.60,60.00,1,60.00,-1.00,-0.142,100,NIO,NIO,3/17/23,10.0,PUT,253667744
2023-02-03T20:03:52+0100,Trade,SELL_TO_OPEN,GLD   230317P00171000,Equity Option,Sold 1 GLD 03/17/23 Put 171.00 @ 1.90,190.00,1,190.00,-1.00,-0.142,100,GLD,GLD,3/17/23,171.0,PUT,253668835
2023-02-03T20:03:52+0100,Trade,BUY_TO_OPEN,GLD   230317P00176000,Equity Option,Bought 1 GLD 03/17/23 Put 176.00 @ 4.30,-430.00,1,-430.00,-1.00,-0.13,100,GLD,GLD,3/17/23,176.0,PUT,253668835
2023-02-03T19:36:46+0100,Trade,BUY_TO_OPEN,SLV   230317P00021500,Equity Option,Bought 1 SLV 03/17/23 Put 21.50 @ 1.33,-133.00,1,-133.00,-1.00,-0.13,100,SLV,SLV,3/17/23,21.5,PUT,253656522
2023-02-03T19:36:46+0100,Trade,SELL_TO_OPEN,SLV   230317P00019500,Equity Option,Sold 1 SLV 03/17/23 Put 19.50 @ 0.33,33.00,1,33.00,-1.00,-0.142,100,SLV,SLV,3/17/23,19.5,PUT,253656522
2023-02-03T19:16:42+0100,Trade,BUY_TO_CLOSE,GLD   230317C00181000,Equity Option,Bought 1 GLD 03/17/23 Call 181.00 @ 1.02,-102.00,1,-102.00,0.00,-0.13,100,GLD,GLD,3/17/23,181.0,CALL,253647689
2023-02-03T19:16:42+0100,Trade,SELL_TO_CLOSE,GLD   230317C00177000,Equity Option,Sold 1 GLD 03/17/23 Call 177.00 @ 2.04,204.00,1,204.00,0.00,-0.142,100,GLD,GLD,3/17/23,177.0,CALL,253647689
2023-02-03T19:10:29+0100,Trade,BUY_TO_CLOSE,FXI   230317C00035000,Equity Option,Bought 1 FXI 03/17/23 Call 35.00 @ 0.21,-21.00,1,-21.00,0.00,-0.13,100,FXI,FXI,3/17/23,35.0,CALL,253644272
2023-02-03T19:10:29+0100,Trade,SELL_TO_CLOSE,FXI   230317C00032000,Equity Option,Sold 1 FXI 03/17/23 Call 32.00 @ 0.96,96.00,1,96.00,0.00,-0.142,100,FXI,FXI,3/17/23,32.0,CALL,253644272
2023-02-03T18:58:09+0100,Trade,SELL_TO_CLOSE,SQ    230217C00080000,Equity Option,Sold 1 SQ 02/17/23 Call 80.00 @ 8.23,823.00,1,823.00,0.00,-0.152,100,SQ,SQ,2/17/23,80.0,CALL,253627795
2023-02-03T18:58:09+0100,Trade,BUY_TO_CLOSE,SQ    230217C00075000,Equity Option,Bought 1 SQ 02/17/23 Call 75.00 @ 12.28,"-1,228.00",1,"-1,228.00",0.00,-0.13,100,SQ,SQ,2/17/23,75.0,CALL,253627795
2023-02-03T18:58:03+0100,Trade,SELL_TO_CLOSE,QQQ   230317C00286000,Equity Option,Sold 1 QQQ 03/17/23 Call 286.00 @ 28.02,"2,802.00",1,"2,802.00",0.00,-0.202,100,QQQ,QQQ,3/17/23,286.0,CALL,253622726
2023-02-03T18:58:03+0100,Trade,BUY_TO_CLOSE,QQQ   230317C00280000,Equity Option,Bought 1 QQQ 03/17/23 Call 280.00 @ 33.22,"-3,322.00",1,"-3,322.00",0.00,-0.13,100,QQQ,QQQ,3/17/23,280.0,CALL,253622726
2023-02-03T18:57:27+0100,Trade,SELL_TO_CLOSE,SPY   230317C00416000,Equity Option,Sold 1 SPY 03/17/23 Call 416.00 @ 9.99,999.00,1,999.00,0.00,-0.162,100,SPY,SPY,3/17/23,416.0,CALL,253622859
2023-02-03T18:57:27+0100,Trade,BUY_TO_CLOSE,SPY   230317C00413000,Equity Option,Bought 1 SPY 03/17/23 Call 413.00 @ 11.84,"-1,184.00",1,"-1,184.00",0.00,-0.13,100,SPY,SPY,3/17/23,413.0,CALL,253622859
2023-02-03T16:40:27+0100,Trade,SELL_TO_CLOSE,XLU   230317P00071000,Equity Option,Sold 1 XLU 03/17/23 Put 71.00 @ 3.85,385.00,1,385.00,0.00,-0.142,100,XLU,XLU,3/17/23,71.0,PUT,253566960
2023-02-03T16:40:27+0100,Trade,BUY_TO_CLOSE,XLU   230317P00068000,Equity Option,Bought 1 XLU 03/17/23 Put 68.00 @ 1.85,-185.00,1,-185.00,0.00,-0.13,100,XLU,XLU,3/17/23,68.0,PUT,253566960
2023-02-03T16:12:37+0100,Trade,SELL_TO_CLOSE,AMZN  230217P00096000,Equity Option,Sold 1 AMZN 02/17/23 Put 96.00 @ 0.52,52.00,1,52.00,0.00,-0.142,100,AMZN,AMZN,2/17/23,96.0,PUT,253541714
2023-02-03T16:12:37+0100,Trade,BUY_TO_CLOSE,AMZN  230217P00099000,Equity Option,Bought 1 AMZN 02/17/23 Put 99.00 @ 0.97,-97.00,1,-97.00,0.00,-0.13,100,AMZN,AMZN,2/17/23,99.0,PUT,253541714
2023-02-03T16:12:26+0100,Trade,SELL_TO_CLOSE,AAPL  230317P00130000,Equity Option,Sold 1 AAPL 03/17/23 Put 130.00 @ 0.52,52.00,1,52.00,0.00,-0.142,100,AAPL,AAPL,3/17/23,130.0,PUT,252724324
2023-02-03T16:12:26+0100,Trade,BUY_TO_CLOSE,AAPL  230317P00135000,Equity Option,Bought 1 AAPL 03/17/23 Put 135.00 @ 0.86,-86.00,1,-86.00,0.00,-0.13,100,AAPL,AAPL,3/17/23,135.0,PUT,252724324
2023-02-03T16:10:13+0100,Trade,SELL_TO_CLOSE,AMZN  230217C00126000,Equity Option,Sold 1 AMZN 02/17/23 Call 126.00 @ 0.23,23.00,1,23.00,0.00,-0.142,100,AMZN,AMZN,2/17/23,126.0,CALL,253541509
2023-02-03T16:10:13+0100,Trade,BUY_TO_CLOSE,AMZN  230217C00123000,Equity Option,Bought 1 AMZN 02/17/23 Call 123.00 @ 0.33,-33.00,1,-33.00,0.00,-0.13,100,AMZN,AMZN,2/17/23,123.0,CALL,253541509
2023-02-02T21:49:46+0100,Trade,SELL_TO_CLOSE,SPY   230317C00417000,Equity Option,Sold 1 SPY 03/17/23 Call 417.00 @ 9.57,957.00,1,957.00,0.00,-0.162,100,SPY,SPY,3/17/23,417.0,CALL,253449501
2023-02-02T21:49:46+0100,Trade,BUY_TO_CLOSE,SPY   230317C00411000,Equity Option,Bought 1 SPY 03/17/23 Call 411.00 @ 13.33,"-1,333.00",1,"-1,333.00",0.00,-0.13,100,SPY,SPY,3/17/23,411.0,CALL,253449501
2023-02-02T21:49:46+0100,Trade,BUY_TO_CLOSE,SPY   230317P00395000,Equity Option,Bought 1 SPY 03/17/23 Put 395.00 @ 3.75,-375.00,1,-375.00,0.00,-0.13,100,SPY,SPY,3/17/23,395.0,PUT,253449501
2023-02-02T21:49:46+0100,Trade,SELL_TO_CLOSE,SPY   230317P00391000,Equity Option,Sold 1 SPY 03/17/23 Put 391.00 @ 3.16,316.00,1,316.00,0.00,-0.142,100,SPY,SPY,3/17/23,391.0,PUT,253449501
2023-02-02T21:30:58+0100,Trade,BUY_TO_OPEN,AMZN  230217P00096000,Equity Option,Bought 1 AMZN 02/17/23 Put 96.00 @ 0.92,-92.00,1,-92.00,-1.00,-0.13,100,AMZN,AMZN,2/17/23,96.0,PUT,253438576
2023-02-02T21:30:58+0100,Trade,SELL_TO_OPEN,AMZN  230217P00099000,Equity Option,Sold 1 AMZN 02/17/23 Put 99.00 @ 1.40,140.00,1,140.00,-1.00,-0.142,100,AMZN,AMZN,2/17/23,99.0,PUT,253438576
2023-02-02T21:30:58+0100,Trade,BUY_TO_OPEN,AMZN  230217C00126000,Equity Option,Bought 1 AMZN 02/17/23 Call 126.00 @ 1.96,-196.00,1,-196.00,-1.00,-0.13,100,AMZN,AMZN,2/17/23,126.0,CALL,253438576
2023-02-02T21:30:58+0100,Trade,SELL_TO_OPEN,AMZN  230217C00123000,Equity Option,Sold 1 AMZN 02/17/23 Call 123.00 @ 2.54,254.00,1,254.00,-1.00,-0.142,100,AMZN,AMZN,2/17/23,123.0,CALL,253438576
2023-02-02T20:34:37+0100,Trade,SELL_TO_CLOSE,QQQ   230317P00270000,Equity Option,Sold 1 QQQ 03/17/23 Put 270.00 @ 1.38,138.00,1,138.00,0.00,-0.142,100,QQQ,QQQ,3/17/23,270.0,PUT,253344495
